ITEM_ID,ITEM_CLASS_NM,ITEM_DSC,DELETE_IND	
1999-082-591,UPI_SORT,S8PIACVE,FALSE	
1999-082-592,UPI_DIE_PREP,S8PP6AVAA,FALSE	
1999-135-440,UPI_SORT,8PP5CVB,FALSE	
1999-135-440,UPI_SORT,S8PIACVE,FALSE	
1999-135-440,UPI_SORT,S8PP8DVB,FALSE	
1999-135-443,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-135-444,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-135-445,UPI_DIE_PREP,S8PCAFVC,FALSE
1999-233-812,UPI_SORT,S8PA7AVA,TRUE	
1999-233-813,UPI_DIE_PREP,S8PA7AVA,TRUE	
1999-235-064,UPI_SORT,F8PNLCVB,FALSE	
1999-235-064,UPI_SORT,S8PFUAVCR,FALSE	
1999-235-064,UPI_SORT,S88ILTVE,FALSE	
1999-235-064,UPI_SORT,S8PIACVBD,FALSE	
1999-235-064,UPI_SORT,8PNVCVB,FALSE	
1999-235-080,UPI_DIE_PREP,F8PNLCVB,FALSE	
1999-244-730,UPI_SORT,S8PCAFVC,FALSE	
1999-244-730,UPI_SORT,S8PA7AVA,TRUE	
1999-244-730,UPI_SORT,B88AACVAB,FALSE	
1999-244-730,UPI_SORT,S8PIARVDD,FALSE	
1999-244-730,UPI_SORT,S88ABGVAA,FALSE	
1999-244-730,UPI_SORT,S8PP6AVAA,FALSE	
1999-244-730,UPI_SORT,8PP5CVB,FALSE	
1999-244-731,UPI_DIE_PREP,S8PIACVE,FALSE	
1999-244-732,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-244-733,UPI_DIE_PREP,S8PFUAVCR,FALSE	
1999-244-734,UPI_DIE_PREP,S8PCAFVC,FALSE	
1999-244-735,UPI_DIE_PREP,S8PIACVE,FALSE	
1999-244-743,UPI_SORT,S8PIACVE,FALSE	
1999-244-743,UPI_SORT,S8PP8DVB,FALSE	
1999-244-743,UPI_SORT,F8PNLCVB,FALSE	
1999-244-743,UPI_SORT,S8PFUAVCR,FALSE	
1999-244-743,UPI_SORT,S88ILTVE,FALSE	
1999-244-743,UPI_SORT,S8PIACVBD,FALSE	
1999-244-744,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-244-745,UPI_DIE_PREP,S8PP6AVAA,FALSE	
1999-244-746,UPI_DIE_PREP,S8PA7AVA,TRUE	
1999-244-747,UPI_DIE_PREP,B88AACVAB,FALSE	
1999-244-748,UPI_DIE_PREP,8PP5CVB,FALSE	
1999-246-687,UPI_SORT,B88AACVAB,FALSE	
1999-246-687,UPI_SORT,S8PIARVDD,FALSE	
1999-246-910,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-246-911,UPI_DIE_PREP,F8PNLCVB,FALSE	
1999-246-912,UPI_DIE_PREP,8PNVCVB,FALSE	
1999-246-913,UPI_DIE_PREP,S8PCAFVC,FALSE	
1999-246-914,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-249-802,UPI_SORT,S88ABGVAA,FALSE	
1999-249-802,UPI_SORT,S8PP6AVAA,FALSE	
1999-249-802,UPI_SORT,8PP5CVB,FALSE	
1999-249-802,UPI_SORT,S8PIACVE,FALSE	
1999-249-802,UPI_SORT,S8PP8DVB,FALSE	
1999-249-802,UPI_SORT,F8PNLCVB,FALSE	
1999-249-805,UPI_DIE_PREP,S88ILTVE,FALSE	
1999-249-806,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-249-807,UPI_DIE_PREP,S8PIACVE,TRUE	
1999-249-808,UPI_DIE_PREP,S8PIACVBD,FALSE	
1999-249-809,UPI_DIE_PREP,B88AACVAB,FALSE	
1999-249-836,UPI_SORT,S8PP6AVAA,FALSE	
1999-249-837,UPI_DIE_PREP,S8PCAFVC,FALSE	
1999-249-838,UPI_DIE_PREP,S8PIACVE,FALSE	
1999-249-839,UPI_DIE_PREP,S8PIACVBD,FALSE	
1999-249-840,UPI_DIE_PREP,S8PP8DVB,FALSE	
1999-256-006,UPI_SORT,8PP5CVB,FALSE	
1999-256-006,UPI_SORT,S8PIACVE,FALSE	
1999-256-006,UPI_SORT,S8PP8DVB,FALSE	
1999-256-006,UPI_SORT,F8PNLCVB,FALSE	
1999-256-006,UPI_SORT,S8PFUAVCR,FALSE	
1999-256-220,UPI_DIE_PREP,F8PNLCVB,FALSE	
1999-256-221,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-256-222,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-256-223,UPI_DIE_PREP,S8PCAFVC,FALSE	
1999-256-224,UPI_DIE_PREP,S8PP8DVB,FALSE	
1999-257-405,UPI_SORT,S8PP8DVB,FALSE	
1999-257-405,UPI_SORT,F8PNLCVB,FALSE	
1999-257-405,UPI_SORT,S8PFUAVCR,FALSE	
1999-257-405,UPI_SORT,S88ILTVE,FALSE	
1999-257-405,UPI_SORT,S8PIACVBD,FALSE	
1999-257-405,UPI_SORT,8PNVCVB,FALSE	
1999-257-406,UPI_DIE_PREP,S8PP6AVAA,FALSE	
1999-257-407,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-257-408,UPI_DIE_PREP,S8PCAFVC,FALSE	
1999-257-409,UPI_DIE_PREP,S8PIARVDD,FALSE	
1999-257-410,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-267-632,UPI_SORT,S8PP8DVB,FALSE	
1999-267-632,UPI_SORT,F8PNLCVB,FALSE	
1999-267-632,UPI_SORT,S8PFUAVCR,FALSE	
1999-267-632,UPI_SORT,S88ILTVE,FALSE	
1999-267-632,UPI_SORT,S8PIACVBD,FALSE	
1999-267-632,UPI_SORT,8PNVCVB,FALSE	
1999-267-633,UPI_DIE_PREP,S88ILTVE,FALSE	
1999-267-634,UPI_DIE_PREP,B88AACVAB,FALSE	
1999-267-635,UPI_DIE_PREP,S8PP6AVAA,FALSE	
1999-267-636,UPI_DIE_PREP,S8PA7AVA,TRUE	
1999-267-637,UPI_DIE_PREP,B88AACVAB,FALSE	
1999-267-672,UPI_SORT,S88ILTVE,FALSE	
1999-267-678,UPI_DIE_PREP,S88ILTVE,FALSE	
1999-267-679,UPI_DIE_PREP,S8PFUAVCR,FALSE	
1999-267-680,UPI_DIE_PREP,F8PNLCVB,FALSE	
1999-267-695,UPI_SORT,S8PP8DVB,FALSE	
1999-267-695,UPI_SORT,F8PNLCVB,FALSE	
1999-267-695,UPI_SORT,S8PFUAVCR,FALSE	
1999-267-695,UPI_SORT,S88ILTVE,FALSE	
1999-267-695,UPI_SORT,S8PIACVBD,FALSE	
1999-267-695,UPI_SORT,8PNVCVB,FALSE	
1999-267-696,UPI_DIE_PREP,8PNVCVB,FALSE	
1999-267-697,UPI_DIE_PREP,S8PP8DVB,FALSE	
1999-267-698,UPI_DIE_PREP,S8PIACVE,FALSE	
1999-267-699,UPI_DIE_PREP,S8PP8DVB,TRUE	
1999-267-700,UPI_DIE_PREP,S8PA7AVA,TRUE	
1999-276-300,UPI_SORT,S88ABGVAA,FALSE	
1999-276-300,UPI_SORT,S8PP6AVAA,FALSE	
1999-276-300,UPI_SORT,8PP5CVB,FALSE	
1999-276-301,UPI_DIE_PREP,S88ILTVE,FALSE	
1999-276-304,UPI_SORT,S8PP6AVAA,FALSE	
1999-276-304,UPI_SORT,8PP5CVB,FALSE	
1999-276-304,UPI_SORT,S8PIACVE,FALSE	
1999-276-305,UPI_DIE_PREP,S8PA7AVA,TRUE	
1999-276-307,UPI_SORT,8PNVCVB,FALSE	
1999-276-307,UPI_SORT,S8PCAFVC,FALSE	
1999-276-307,UPI_SORT,S8PA7AVA,TRUE	
1999-276-307,UPI_SORT,B88AACVAB,FALSE	
1999-276-309,UPI_SORT,8PP5CVB,FALSE	
1999-276-309,UPI_SORT,S8PIACVE,FALSE	
1999-276-309,UPI_SORT,S8PP8DVB,FALSE	
1999-276-309,UPI_SORT,F8PNLCVB,FALSE	
1999-276-443,UPI_DIE_PREP,8PP5CVB,FALSE	
1999-276-444,UPI_DIE_PREP,S88ABGVAA,FALSE	
1999-276-445,UPI_DIE_PREP,S8PIARVDD,FALSE	
