ITEM_ID,ITEM_CLASS_NM,LOCATION_ID
77A9D6,IC,D1D
77A9D7,IC,F12
77A9DF,IC,F32
77A9DT,IC,F24
77A9F3,IC,D1D
77A9FC,IC,F12
77A9FG,IC,F28
77A9FT,IC,F32
77A9GC,IC,D1C
77A9H1,IC,F24
77A9H4,IC,D1D
77A9H7,IC,F12
77A9HG,IC,F28
77A9HL,IC,F32
77A9HV,IC,FAC
77A9J2,IC,D1C
77A9J4,IC,F24
77A9JA,IC,D1D
77A9JT,IC,F12
77A9JX,IC,F28
77A9KC,IC,F32
77A9KF,IC,FAC
77A9KH,IC,D1C
77A9KK,IC,F24
77A9L5,IC,D1D
77A9LD,IC,F12
77A9LP,IC,F28
77A9LT,IC,F32
77A9LX,IC,D1C
77AFDM,IC,F24
77AFDP,IC,D1D
77AFDT,IC,F12
77AGT7,IC,F28
77AHWX,IC,F32
77AHWZ,IC,D1C
77AHX0,IC,F21
77AHXL,IC,F24
77AHXM,IC,D1D
77AJFV,IC,F12
77AJG4,IC,F28
77AJG6,IC,F32
77AJH8,IC,F24
77AJL1,IC,F28
77AJPM,IC,F24
77AL2D,IC,D1D
77AL2F,IC,F12
77AMTT,IC,F32
77AMV4,IC,FAC
77AMVC,IC,D1C
77AMVD,IC,F21
77AMVF,IC,F24
77AMVK,IC,D1D
77AMVP,IC,F12
77AMVR,IC,F28
77AMWC,IC,F32
77AMWD,IC,FAL
77AMX0,IC,D1C
77AMX1,IC,F24
77AMX2,IC,D1D
77AMX3,IC,F12
77AMX4,IC,F28
77APCK,IC,F32
77APCL,IC,D1C
77APCM,IC,F24
77APCN,IC,D1D
77APCP,IC,F12
77APCR,IC,F28
77APCT,IC,F32
77APCV,IC,BAC
77APCW,IC,BTW
77APCX,IC,F24
77APCZ,IC,D1D
77APD0,IC,F12
77APD1,IC,F32
77APD2,IC,F24
77APD3,IC,D1D
77APD4,IC,F12
77ARAA,IC,F28
77ARAC,IC,F32
77ARAD,IC,D1D
77ARAF,IC,F12
77ARAZ,IC,F32
77ARC0,IC,FAC
77ARC1,IC,D1C
1999-082-591,UPI_SORT,D1D
1999-082-592,UPI_DIE_PREP,F12
1999-135-440,UPI_SORT,F28
1999-135-440,UPI_SORT,F32
1999-135-440,UPI_SORT,D1C
1999-135-443,UPI_DIE_PREP,F24
1999-135-444,UPI_DIE_PREP,D1D
1999-135-445,UPI_DIE_PREP,F12
1999-233-812,UPI_SORT,F28
1999-233-813,UPI_DIE_PREP,F32
1999-235-064,UPI_SORT,F24
1999-235-064,UPI_SORT,F12
1999-235-064,UPI_SORT,F32
1999-235-064,UPI_SORT,D1D
1999-235-064,UPI_SORT,F12
1999-235-080,UPI_DIE_PREP,F32
1999-244-730,UPI_SORT,F24
1999-244-730,UPI_SORT,D1D
1999-244-730,UPI_SORT,F12
1999-244-730,UPI_SORT,F28
1999-244-730,UPI_SORT,F32
1999-244-730,UPI_SORT,D1C
1999-244-730,UPI_SORT,F24
1999-244-731,UPI_DIE_PREP,D1D
1999-244-732,UPI_DIE_PREP,F12
1999-244-733,UPI_DIE_PREP,F28
1999-244-734,UPI_DIE_PREP,F32
1999-244-735,UPI_DIE_PREP,FAC
1999-244-743,UPI_SORT,D1C
1999-244-743,UPI_SORT,F24
1999-244-743,UPI_SORT,D1D
1999-244-743,UPI_SORT,F12
1999-244-743,UPI_SORT,F28
1999-244-743,UPI_SORT,F32
1999-244-744,UPI_DIE_PREP,FAC
